n,healthy_mean_pct,cancer_mean_pct,linear_beta_percentage_points,linear_hc3_se,linear_p,empirical_logit_beta,empirical_logit_hc3_se,empirical_logit_p,beta_regression_beta,beta_regression_hc3_se,beta_regression_p,beta_model_status,axis,panel,outcome,label,linear_q_fdr,empirical_logit_q_fdr,beta_regression_q_fdr,direction_concordant,fdr_significant_all_models
832,23.321911416933688,31.049105149164326,4.2170733228819905,1.075958750772912,8.878317194501279e-05,0.21845159513525073,0.058732808234298564,0.0001996859804560353,0.18130514438424836,0.05039787446693527,0.00032132012076714,beta_regression_logit_HC3,CD8 differentiation/checkpoint remodeling,CP24,pct_temra_like,TEMRA-like CD8 cells within CD3+CD8+ (%),8.878317194501279e-05,0.0002662479739413804,0.00042842682768952,True,True
832,0.6463432838655788,1.3768014574075416,0.6765942433778291,0.06652400513723977,2.6803605420967333e-24,0.5545321032768897,0.05122743407717158,2.6235129518000305e-27,0.4267531478160538,0.03883407433957781,4.310049287460436e-28,beta_regression_logit_HC3,CD4 helper/regulatory-like remodeling,CP8,pct_cd25pos_il7ralow_treg_like,CD25+IL7RA-low regulatory-like cells (%),2.1442884336773866e-23,2.0988103614400244e-26,3.448039429968349e-27,True,True
832,9.99669763132559,17.117256160192163,5.862927145470964,1.1517968552755593,3.576028727192008e-07,0.2525277438044997,0.09280788273903967,0.006509007621146184,0.15576962795520527,0.05345549404144914,0.0035682310010215325,beta_regression_logit_HC3,B-cell/humoral repatterning,CP22,pct_switched_memory_like_within_b,Switched-memory-like cells within B cells (%),5.721645963507213e-07,0.006541250416062575,0.004077978286881751,True,True
832,94.94065933658517,90.76509218318138,-4.562597562825136,0.8040082163883746,1.3883894278994117e-08,-0.5001739362029588,0.07861828049457703,1.990702855175567e-10,-0.2940910556537103,0.045678634820875,1.20848625376052e-10,beta_regression_logit_HC3,NK-cell attenuation,CP26,pct_nk_like_within_cd45_dump_low,NK-like cells within CD45+ dump-low events (%),2.7767788557988234e-08,5.308540947134845e-10,3.2226300100280533e-10,True,True
832,30.512328148724972,34.99252127403325,5.927910510570705,0.9431264705147944,3.2704767471519846e-10,0.2688947253249686,0.045268808516215196,2.850987945676661e-09,0.24555292110302446,0.04079015325925592,1.7451752328814012e-09,beta_regression_logit_HC3,T/NK-interface remodeling,CP28,pct_cd8_within_cd3,CD8+ cells within CD3+ cells (%),8.721271325738625e-10,5.701975891353322e-09,3.4903504657628023e-09,True,True
832,21.508650140449614,39.66406167879639,15.609872957877016,1.6718533803710893,9.922662368301034e-21,0.9198519295107861,0.09818504734256003,7.353290480203384e-21,0.6302962662710093,0.06521073656940729,4.224317054466783e-22,beta_regression_logit_HC3,Myeloid/granulocytic remodeling,CP10,pct_cd13_cd66b_gran_like_within_cd45,CD13+CD66b+ granulocyte-like cells within CD45+ (%),3.9690649473204135e-20,2.9413161920813537e-20,1.6897268217867132e-21,True,True
829,85.66476274091711,81.64129455846853,-4.0133969848399795,1.021393255313727,8.518085297777032e-05,-0.33186450543719315,0.08119199251133279,4.362263867646111e-05,-0.2421329028052901,0.05866917282258885,3.673840997113319e-05,beta_regression_logit_HC3,APC/DC-like depletion,CP16,pct_hladr_apc_core_within_cd45_dump_low,HLA-DR+ APC-core within CD45+ dump-low events (%),8.878317194501279e-05,6.979622188233777e-05,5.878145595381311e-05,True,True
832,6.905023654757753,9.874430470942151,2.7548852614613595,0.6537813567752959,2.5114134720189567e-05,0.24661248803387326,0.09068839009343135,0.006541250416062575,0.1494942189634284,0.05227989060206777,0.004243126990509774,beta_regression_logit_HC3,Monocyte/macrophage-like remodeling,CP23,pct_cd45_dump_low_within_total,CD45+ dump-low events within total events (%),3.3485512960252754e-05,0.006541250416062575,0.004243126990509774,True,True
