caliper,axis,panel,outcome,label,n_pairs,mean_paired_difference_percentage_points,paired_se,ci95_low,ci95_high,paired_p,paired_q_fdr
5_year,CD8 differentiation/checkpoint remodeling,CP24,pct_temra_like,TEMRA-like CD8 cells within CD3+CD8+ (%),265,3.4388134965814396,1.2288559819313725,1.0192077460633309,5.858419247099548,0.005514435073162967,0.006302211512186248
5_year,CD4 helper/regulatory-like remodeling,CP8,pct_cd25pos_il7ralow_treg_like,CD25+IL7RA-low regulatory-like cells (%),265,0.6469055924511484,0.07245762551076264,0.5042372163903646,0.7895739685119323,7.536050187449434e-17,6.028840149959547e-16
5_year,B-cell/humoral repatterning,CP22,pct_switched_memory_like_within_b,Switched-memory-like cells within B cells (%),265,5.683457383661343,1.2945076635096717,3.1345840960081075,8.232330671314578,1.6380126208904837e-05,2.620820193424774e-05
5_year,NK-cell attenuation,CP26,pct_nk_like_within_cd45_dump_low,NK-like cells within CD45+ dump-low events (%),265,-4.393069188933124,0.9330494761964109,-6.230234740729108,-2.55590363713714,4.038869344953309e-06,8.077738689906617e-06
5_year,T/NK-interface remodeling,CP28,pct_cd8_within_cd3,CD8+ cells within CD3+ cells (%),265,6.086328640574742,1.1361272759693095,3.8493048308885247,8.323352450260959,1.8422304356018685e-07,4.912614494938316e-07
5_year,Myeloid/granulocytic remodeling,CP10,pct_cd13_cd66b_gran_like_within_cd45,CD13+CD66b+ granulocyte-like cells within CD45+ (%),265,15.222637131682085,1.9481544292082396,11.386739574019522,19.058534689344647,1.3187610252666828e-13,5.275044101066731e-13
5_year,APC/DC-like depletion,CP16,pct_hladr_apc_core_within_cd45_dump_low,HLA-DR+ APC-core within CD45+ dump-low events (%),262,-4.176897880235228,1.129261768740704,-6.400521271125125,-1.9532744893453313,0.0002641209316762248,0.0003521612422349664
5_year,Monocyte/macrophage-like remodeling,CP23,pct_cd45_dump_low_within_total,CD45+ dump-low events within total events (%),265,2.0949649293891386,0.7833826626621074,0.5524919111479505,3.6374379476303265,0.007956832398652197,0.007956832398652197
10_year,CD8 differentiation/checkpoint remodeling,CP24,pct_temra_like,TEMRA-like CD8 cells within CD3+CD8+ (%),273,3.7392692899031346,1.212465570121618,1.3522594078949886,6.12627917191128,0.0022524155802499833,0.0025741892345714093
10_year,CD4 helper/regulatory-like remodeling,CP8,pct_cd25pos_il7ralow_treg_like,CD25+IL7RA-low regulatory-like cells (%),273,0.623475617437453,0.07014663614048008,0.48537626205521284,0.761574972819693,8.759105796285662e-17,7.00728463702853e-16
10_year,B-cell/humoral repatterning,CP22,pct_switched_memory_like_within_b,Switched-memory-like cells within B cells (%),273,5.597006079996209,1.2467442257047148,3.142510991285989,8.05150116870643,1.0564124737203086e-05,1.6902599579524937e-05
10_year,NK-cell attenuation,CP26,pct_nk_like_within_cd45_dump_low,NK-like cells within CD45+ dump-low events (%),273,-4.291322135486819,0.9008515245991568,-6.064850014900829,-2.5177942560728095,3.0971918986927504e-06,6.194383797385501e-06
10_year,T/NK-interface remodeling,CP28,pct_cd8_within_cd3,CD8+ cells within CD3+ cells (%),273,5.543543961369309,1.1234848749847959,3.3317124958321926,7.755375426906426,1.4037566864413156e-06,3.7433511638435084e-06
10_year,Myeloid/granulocytic remodeling,CP10,pct_cd13_cd66b_gran_like_within_cd45,CD13+CD66b+ granulocyte-like cells within CD45+ (%),273,14.474350281279559,1.898719113245252,10.736296683584785,18.212403878974335,4.144704591800924e-13,1.6578818367203696e-12
10_year,APC/DC-like depletion,CP16,pct_hladr_apc_core_within_cd45_dump_low,HLA-DR+ APC-core within CD45+ dump-low events (%),270,-3.760425452704432,1.1370950990789306,-5.999163270417526,-1.5216876349913377,0.0010712175209626055,0.0014282900279501407
10_year,Monocyte/macrophage-like remodeling,CP23,pct_cd45_dump_low_within_total,CD45+ dump-low events within total events (%),273,1.8949950122508756,0.7430987616502255,0.4320387592422379,3.3579512652595134,0.011317072927686118,0.011317072927686118
