omitted_cancer_group,omitted_n,n_principal_scores,n_direction_preserved,n_positive_beta,n_within_omission_FDR_sig,n_global_80_FDR_sig,min_beta,max_beta,max_within_omission_q
Sarkom,133,10,10,10,9,9,0.0668974141294268,0.5317699045309667,0.3294795076328225
Diğer kanserler,97,10,10,10,10,10,0.15333121688660634,0.5167059973904119,0.018996509874236935
Meme,65,10,10,10,10,10,0.12785727430506502,0.5309851889999548,0.04637281037656345
Kolorektal,41,10,10,10,10,10,0.13709109053552415,0.546694542953208,0.031194774984818784
Pankreas,37,10,10,10,10,10,0.14245857481069685,0.5250993065977462,0.02095066633254119
Akciğer,32,10,10,10,10,10,0.1434428896667932,0.5281311728031323,0.020279613639998847
Deri,19,10,10,10,10,10,0.16260112984407427,0.5404289765027857,0.009060591485895763
Prostat,18,10,10,10,10,10,0.1450994523197708,0.5273091930598393,0.01836416299148529
