algorithm,k,n,silhouette,calinski_harabasz,davies_bouldin,adjusted_rand_vs_original_immunotype,normalized_mutual_information_vs_original_immunotype,bic,aic
kmeans,2,829,0.20736100188311096,187.9920634263312,1.9705251065910032,0.0667523390871976,0.07091442501296619,,
ward,2,829,0.0835781607676997,112.12633153640616,1.9714848563870897,-0.008972179870492075,0.03744056979671172,,
kmeans,3,829,0.17565440643022018,143.30624664491233,2.021650192183753,0.0885405460870256,0.10212663201403441,,
ward,3,829,0.08795341052632853,96.26895357959508,2.035322243547982,0.01221385147125163,0.06325181706315959,,
kmeans,4,829,0.10857565254620614,122.76626145932602,2.0826981891261167,0.07316187812818337,0.11469598360559491,,
ward,4,829,0.08052487304787966,94.88602811044142,2.2986289883587516,0.04061591411879314,0.08699861474594936,,
kmeans,5,829,0.10563916529574706,111.7153580159329,1.9994571399826835,0.05101463246905454,0.10266035292377,,
ward,5,829,0.0751796357244306,86.65035424148077,2.371846530233338,0.04524210187150554,0.08685310947610189,,
kmeans,6,829,0.10702914401320551,103.19290241747908,1.9180639553831986,0.05623410594747248,0.1015979457218886,,
ward,6,829,0.08287077623141843,79.64880587898612,2.170227030547517,0.04587543210005441,0.09090851056480437,,
kmeans,7,829,0.10907797737585585,95.28008668298152,1.8610446806378356,0.06280902597871311,0.11085947581205235,,
ward,7,829,0.0696204960287798,73.78063155697673,2.282824193236311,0.04193953951585689,0.08926772528291706,,
kmeans,8,829,0.10909507917304406,89.12053390652076,1.8364616410292698,0.053014911448484345,0.10986426339095391,,
ward,8,829,0.06825822311391742,69.14535009312154,2.2063439588928793,0.04694157639666831,0.10453425915527663,,
gaussian_mixture,1,829,,,,0.0,0.0,22111.05192402506,21804.237613941266
gaussian_mixture,2,829,0.238946643021608,113.34696603939956,2.4528480838061366,0.05746404775588963,0.06294399892530929,21565.595995742377,20947.247155419653
gaussian_mixture,3,829,0.09936474872543534,95.7091445253852,2.5107938674740495,0.07972518910357544,0.10569107951159325,21752.835424560286,20822.952053998633
gaussian_mixture,4,829,0.08221756900988043,75.88024878015428,2.6697474064355493,0.06890528348412431,0.09468725399836166,21911.587258564476,20670.169357763894
gaussian_mixture,5,829,0.05915320064573002,54.99517494469157,2.96124715424299,0.08713307403614301,0.10496706184861124,22110.178854995247,20557.226423955733
gaussian_mixture,6,829,0.04089029571785324,56.67361960275936,2.8726713783537967,0.062053433500964136,0.09686642528364502,22401.577426317108,20537.090465038666
