immunotype,component,n,centroid,ci95_low,ci95_high
G1_Naive,PC1,170,-0.7657838803836139,-0.9595834796829003,-0.5719842810843275
G1_Naive,PC2,170,0.08190671466648876,-0.06258251074821307,0.22639594008119057
G2_Primed,PC1,288,-0.49862122569944944,-0.6715218969591581,-0.3257205544397408
G2_Primed,PC2,288,0.12377060822933096,-0.0042773778576207094,0.2518185943162826
G3_Progressive,PC1,202,0.12509900896183848,-0.08043415791389,0.330632175837567
G3_Progressive,PC2,202,-0.07300731289408126,-0.24126866213330844,0.09525403634514594
G4_Chronic,PC1,93,1.0869894200623855,0.7411734185805785,1.4328054215441925
G4_Chronic,PC2,93,-1.250771580958274,-1.495420450884255,-1.006122711032293
G5_Suppressive,PC1,76,1.939817852507402,1.474735658671999,2.4049000463428047
G5_Suppressive,PC2,76,1.0723573364522825,0.7114516680529432,1.4332630048516217
