panel,Akciğer,Deri,Diğer kanserler,Kolorektal,Meme,Pankreas,Prostat,Sarkom
CP7,0.3589734184839577,0.3503104583467071,0.3396602269478729,0.35509296032212445,0.3783191230450437,0.3475472316823423,0.35463325430895876,0.29021656551366315
CP8,0.5230130425165754,0.5283286320025556,0.5167059973904119,0.546694542953208,0.5145754698603633,0.5250993065977462,0.5273091930598393,0.5281740169673311
CP10,0.45138618807365527,0.47123162997165285,0.43917479194481335,0.48199626169201565,0.5309851889999548,0.4604529118064344,0.46948342647377617,0.40678509983776023
CP16,0.46650922187652333,0.47893221274543957,0.4713390305657791,0.469176807957201,0.45416812330990036,0.44880756957245693,0.4688889001633602,0.5317699045309667
CP22,0.3695615482165744,0.36561807229806786,0.3717667500230817,0.37784018117238544,0.38101980627483123,0.35419538139387674,0.3694227243635597,0.31976748850796316
CP23,0.24528156320552005,0.24050246975074874,0.2288325971026829,0.2411044033198922,0.25088941626144706,0.2290925410148625,0.24861989298136186,0.2893630717777458
CP24,0.1434428896667932,0.16260112984407427,0.15333121688660634,0.13709109053552415,0.12785727430506502,0.14245857481069685,0.1450994523197708,0.0668974141294268
CP25,0.5281311728031323,0.5404289765027857,0.5074709110623867,0.5356429999813642,0.4680353256990349,0.5200909941220677,0.5255000283417212,0.4815860935625285
CP26,0.3283822422144479,0.3219227302600443,0.30324878404585937,0.33053565927899076,0.3330569265894186,0.32879016961827173,0.3258475291159802,0.3144110585555113
CP28,0.2881611426686823,0.29663502776057393,0.2627791878131359,0.28919494562900255,0.27778760717435474,0.2884428230899668,0.2879802712067657,0.27025531485562654
