subset,panel,score,immunotype,adjusted_mean,ci95_low,ci95_high,n_model
full,CP25,CP25_integrated_CD4_regulatory_checkpoint_remodeling_score,G5_Suppressive,0.2388565820637553,0.0184207167067935,0.459292447420717,829
full,CP26,CP26_integrated_NK_remodeling_score,G1_Naive,-0.0938210605142523,-0.1767190992363726,-0.0109230217921319,829
full,CP26,CP26_integrated_NK_remodeling_score,G2_Primed,-0.0779968441891246,-0.1375573848125582,-0.018436303565691,829
full,CP26,CP26_integrated_NK_remodeling_score,G3_Progressive,-0.1163500526835464,-0.1899292298612878,-0.042770875505805,829
full,CP26,CP26_integrated_NK_remodeling_score,G4_Chronic,-0.0037005266241198,-0.134873952345697,0.1274728990974572,829
full,CP26,CP26_integrated_NK_remodeling_score,G5_Suppressive,0.8225206273470916,0.6392961012028848,1.0057451534912984,829
full,CP28,CP28_integrated_TNK_interface_remodeling_score,G1_Naive,-0.1099847809753195,-0.1673168302772338,-0.0526527316734051,829
full,CP28,CP28_integrated_TNK_interface_remodeling_score,G2_Primed,-0.169246261677086,-0.2163945037662729,-0.122098019587899,829
full,CP28,CP28_integrated_TNK_interface_remodeling_score,G3_Progressive,-0.0345039289471247,-0.0874293795805688,0.0184215216863193,829
full,CP28,CP28_integrated_TNK_interface_remodeling_score,G4_Chronic,0.6220642718697357,0.5407867286455456,0.7033418150939258,829
full,CP28,CP28_integrated_TNK_interface_remodeling_score,G5_Suppressive,0.2221143082775281,0.0935300930455294,0.3506985235095269,829
